Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,-1.0,-0.8333333333333333,-1.3333333333333333,15.55,21.33
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,15.55,21.33
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,15.55,21.33
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,1.0,-0.8333333333333333,-1.3333333333333333,15.55,21.33
1.0169491525423733,-0.8181818181818182,0.0,-0.7692307692307693,0.5,-1.0,-0.8333333333333333,-1.3333333333333333,20.84,28.28
1.0169491525423733,-0.8181818181818182,0.0,-0.7692307692307693,0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,21.46,25.38
1.0169491525423733,-0.8181818181818182,0.0,-0.7692307692307693,0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,20.71,25.16
1.0169491525423733,-0.8181818181818182,0.0,-0.7692307692307693,0.5,1.0,-0.8333333333333333,-1.3333333333333333,19.68,29.6
0.7457627118644069,-0.6363636363636364,-0.5,-0.46153846153846156,0.5,-1.0,-0.8333333333333333,-1.3333333333333333,19.5,27.3
0.7457627118644069,-0.6363636363636364,-0.5,-0.46153846153846156,0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,19.95,21.97
0.7457627118644069,-0.6363636363636364,-0.5,-0.46153846153846156,0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,19.34,23.49
0.7457627118644069,-0.6363636363636364,-0.5,-0.46153846153846156,0.5,1.0,-0.8333333333333333,-1.3333333333333333,18.31,27.87
0.47457627118644047,-0.45454545454545453,0.0,-0.46153846153846156,0.5,-1.0,-0.8333333333333333,-1.3333333333333333,17.05,23.77
0.47457627118644047,-0.45454545454545453,0.0,-0.46153846153846156,0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,17.41,21.46
0.47457627118644047,-0.45454545454545453,0.0,-0.46153846153846156,0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,16.95,21.16
0.47457627118644047,-0.45454545454545453,0.0,-0.46153846153846156,0.5,1.0,-0.8333333333333333,-1.3333333333333333,15.98,24.93
0.27118644067796643,-0.2727272727272727,0.5,-0.46153846153846156,0.5,-1.0,-0.8333333333333333,-1.3333333333333333,28.52,37.73
0.27118644067796643,-0.2727272727272727,0.5,-0.46153846153846156,0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,29.9,31.27
0.27118644067796643,-0.2727272727272727,0.5,-0.46153846153846156,0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,29.63,30.93
0.27118644067796643,-0.2727272727272727,0.5,-0.46153846153846156,0.5,1.0,-0.8333333333333333,-1.3333333333333333,28.75,39.44
0.06779661016949161,-0.09090909090909091,2.0,-0.7692307692307693,0.5,-1.0,-0.8333333333333333,-1.3333333333333333,24.77,29.79
0.06779661016949161,-0.09090909090909091,2.0,-0.7692307692307693,0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,23.93,29.68
0.06779661016949161,-0.09090909090909091,2.0,-0.7692307692307693,0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,24.77,29.79
0.06779661016949161,-0.09090909090909091,2.0,-0.7692307692307693,0.5,1.0,-0.8333333333333333,-1.3333333333333333,23.93,29.4
-0.06779661016949161,0.09090909090909091,-1.5,0.46153846153846156,-0.5,-1.0,-0.8333333333333333,-1.3333333333333333,6.07,10.9
-0.06779661016949161,0.09090909090909091,-1.5,0.46153846153846156,-0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,6.05,11.19
-0.06779661016949161,0.09090909090909091,-1.5,0.46153846153846156,-0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,6.01,10.94
-0.06779661016949161,0.09090909090909091,-1.5,0.46153846153846156,-0.5,1.0,-0.8333333333333333,-1.3333333333333333,6.04,11.17
-0.27118644067796643,0.2727272727272727,-1.0,0.46153846153846156,-0.5,-1.0,-0.8333333333333333,-1.3333333333333333,6.37,11.27
-0.27118644067796643,0.2727272727272727,-1.0,0.46153846153846156,-0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,6.4,11.72
-0.27118644067796643,0.2727272727272727,-1.0,0.46153846153846156,-0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,6.366,11.29
-0.27118644067796643,0.2727272727272727,-1.0,0.46153846153846156,-0.5,1.0,-0.8333333333333333,-1.3333333333333333,6.4,11.67
-0.4067796610169496,0.45454545454545453,-0.5,0.46153846153846156,-0.5,-1.0,-0.8333333333333333,-1.3333333333333333,6.85,11.74
-0.4067796610169496,0.45454545454545453,-0.5,0.46153846153846156,-0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,6.79,12.05
-0.4067796610169496,0.45454545454545453,-0.5,0.46153846153846156,-0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,6.77,11.73
-0.4067796610169496,0.45454545454545453,-0.5,0.46153846153846156,-0.5,1.0,-0.8333333333333333,-1.3333333333333333,6.81,11.93
-0.6101694915254237,0.6363636363636364,0.0,0.46153846153846156,-0.5,-1.0,-0.8333333333333333,-1.3333333333333333,7.18,12.4
-0.6101694915254237,0.6363636363636364,0.0,0.46153846153846156,-0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,7.1,12.23
-0.6101694915254237,0.6363636363636364,0.0,0.46153846153846156,-0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,7.1,12.4
-0.6101694915254237,0.6363636363636364,0.0,0.46153846153846156,-0.5,1.0,-0.8333333333333333,-1.3333333333333333,7.1,12.14
-0.7457627118644069,0.8181818181818182,0.5,0.46153846153846156,-0.5,-1.0,-0.8333333333333333,-1.3333333333333333,10.85,16.78
-0.7457627118644069,0.8181818181818182,0.5,0.46153846153846156,-0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,10.54,16.8
-0.7457627118644069,0.8181818181818182,0.5,0.46153846153846156,-0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,10.77,16.75
-0.7457627118644069,0.8181818181818182,0.5,0.46153846153846156,-0.5,1.0,-0.8333333333333333,-1.3333333333333333,10.56,16.67
-0.88135593220339,1.0,1.0,0.46153846153846156,-0.5,-1.0,-0.8333333333333333,-1.3333333333333333,8.6,12.07
-0.88135593220339,1.0,1.0,0.46153846153846156,-0.5,-0.3333333333333333,-0.8333333333333333,-1.3333333333333333,8.49,12.22
-0.88135593220339,1.0,1.0,0.46153846153846156,-0.5,0.3333333333333333,-0.8333333333333333,-1.3333333333333333,8.45,12.08
-0.88135593220339,1.0,1.0,0.46153846153846156,-0.5,1.0,-0.8333333333333333,-1.3333333333333333,8.5,12.04
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,-1.0,-0.4999999999999999,-0.8888888888888888,24.58,26.47
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,-0.3333333333333333,-0.4999999999999999,-0.8888888888888888,24.63,26.37
1.5593220338983054,-1.1818181818181819,-0.5,-0.9230769230769231,0.5,0.3333333333333333,-0.4999999999999999,-0.8888888888888888,24.63,26.44
